No.,RA,Dec,Redshift (z),Object Name,,
136,189.173625,62.210750,2.591418,HPS 389,,
137,189.183667,62.236083,2.274881,GOODS J123644.07+621410.4,,
139,189.197708,62.225000,1.067533,ACS-GC 50008527,,
140,189.204358,62.219344,0.908000,S-CANDELS J123649.02+621309.6,,
141,189.196458,62.228306,1.314790,S-CANDELS J123647.18+621341.8,,
142,189.203313,62.221764,0.751740,ACS-GC 50008693,,
144,189.202375,62.224528,0.958000,MODS Kdeep 2229,,
145,189.204333,62.222722,1.000000,SHARDS J123648.96+621321.9,,
146,189.193049,62.234636,0.960470,S-CANDELS J123646.35+621404.6,,
147,189.206125,62.221278,1.241501,S-CANDELS J123649.48+621316.7,,
150,189.201030,62.238488,2.007079,GOODS J123648.24+621418.8,,
152,189.201167,62.237972,2.002035,GOODS J123648.31+621417.0,,
154,189.206250,62.235194,0.751690,MDS uhdfk-032,,
155,189.216542,62.225611,0.961537,S-CANDELS J123651.97+621332.1,,
156,189.207290,62.237530,1.872000,HNM 0163,,
157,189.221888,62.222628,1.654064,GOODS J123653.25+621321.8,,
158,189.215750,62.231583,0.556070,GOODS J123651.79+621354.2,,
159,189.209793,62.238500,0.818050,S-CANDELS J123650.35+621418.6,,
160,189.216625,62.233583,0.557900,GOODS J123651.97+621401.2,,
161,189.219792,62.231833,1.359070,S-CANDELS J123652.75+621354.6,,
163,189.225417,62.231750,0.850100,S-CANDELS J123654.10+621354.3,,
164,189.229614,62.229920,2.233000,GOODS J123655.06+621347.4,,
165,189.223511,62.238220,0.516540,GOODS J123653.64+621418.0,,
166,189.231333,62.231472,1.145010,GOODS J123655.51+621353.8,,
167,189.228167,62.220750,2.052906,S-CANDELS J123654.75+621314.8,,
172,189.240540,62.220890,0.954380,SDSS J123657.71+621315.4,,
174,189.209458,62.212722,0.680600,ACS-GC 50012278,,
175,189.224542,62.215000,0.642000,MDS uhdfk-017,,
176,189.237154,62.217162,1.196161,GOODS J123656.91+621302.0,,
180,189.235846,62.214639,1.232332,GDS J123656.60+621252.7,,
181,189.231842,62.213610,0.926897,S-CANDELS J123655.63+621249.1,,
182,189.231542,62.212639,0.791010,SDSS J123655.52+621245.5,,
184,189.213896,62.207642,2.010959,S-CANDELS J123651.33+621227.5,,
185,189.222667,62.209528,0.559300,S-CANDELS J123653.45+621234.3,,
186,189.236093,62.212699,0.517770,SDSS J123656.66+621245.7,,
189,189.222321,62.206110,1.877000,S-CANDELS J123653.39+621221.8,,
190,189.238417,62.207194,0.562240,HPS 440,,
192,189.252333,62.209611,0.560000,WISEA J123700.55+621234.6,,
193,189.244370,62.206030,0.681770,S-CANDELS J123658.65+621221.7,,
194,189.204417,62.205889,0.956008,MDS uhdfk-056,,
195,189.199083,62.209083,0.957401,S-CANDELS J123647.80+621232.8,,
196,189.205708,62.198639,0.962250,S-CANDELS J123649.35+621154.9,,
199,189.201042,62.203778,0.960920,S-CANDELS J123648.24+621213.7,,
200,189.205250,62.196806,0.959560,MDS uhdfk-068,,
201,189.195679,62.201470,2.470000,MODS Kdeep 1147,,
203,189.184125,62.213278,0.556270,ACS-GC 50011987,,
204,189.184128,62.211200,0.873760,ACS-GC 50013080,,
205,189.186042,62.207556,1.734100,S-CANDELS J123644.66+621227.3,,
206,189.193875,62.197611,0.503930,S-CANDELS J123646.53+621151.2,,
207,189.192458,62.195028,1.016380,WISEA J123646.17+621141.9,,
209,189.181833,62.205083,0.750570,S-CANDELS J123643.62+621218.2,,
210,189.188833,62.195333,0.557800,GOODS J123645.32+621143.2,,
212,189.185257,62.194860,1.020000,S-CANDELS J123644.48+621141.8,,
213,189.180917,62.197667,1.238940,MDS uhdfk-063,,
214,189.182542,62.195278,0.765000,SDSS J123643.81+621142.9,,
215,189.179920,62.196600,1.007440,S-CANDELS J123643.20+621147.9,,
218,189.175659,62.195750,1.548000,S-CANDELS J123642.15+621144.4,,
220,189.170212,62.200840,1.009080,S-CANDELS J123640.84+621203.0,,
221,189.166750,62.202083,1.016620,S-CANDELS J123640.02+621207.2,,
222,189.162458,62.205472,0.608180,ACS-GC 50016623,,
223,189.173013,62.195186,0.585000,HDF PM2 01,,
224,189.195328,62.195750,1.059900,ACS-GC 50012059,,
225,189.233833,62.224861,1.244420,S-CANDELS J123656.11+621329.6,,
227,189.250458,62.213830,1.352769,S-CANDELS J123700.12+621249.8,,
229,189.250458,62.207000,2.052097,S-CANDELS J123700.09+621225.2,,
